persistence,policy,success,prop,contain,escalate,retry,latency,masked,stale,precision,waste,utility,weight
p00,fixed_four_retries,0.6428209520982134,0.1626190062069118,0.5583657743877384,0.25612874171769395,0.7512994873958717,0.48056708911200063,0.08645604346326966,0.165969724368417,0.46835166529927785,0.18426738818789368,0.3808223635908906,3172608000
p00,fixed_one_retry,0.6737643971416484,0.4188428853201225,0.35219999653578643,0.522416615437807,0.30292103961298367,0.20982267708050525,0.021329917592138033,0.0367908995091789,0.5146302952486187,0.19069077244433055,0.5293325551066198,3172608000
p00,fixed_two_retries,0.6887084482970451,0.30100765412896474,0.4530234081112964,0.3990666775539907,0.5089967936738852,0.30864013861512724,0.03869882766626951,0.0806131120174752,0.5682743022793177,0.175063339735245,0.5284161394820711,3172608000
p00,immediate_escalation,0.5980719615726956,0.6577118190402763,0.140002833277834,0.8225661751257378,0.002225958115113681,0.13120530495392854,0.013608533799840875,0.03687027915530633,0.44694773773491847,0.35998236830047126,0.3375261167223794,3172608000
p00,local_backoff,0.6619180355802547,0.2502023989094058,0.49139310424039867,0.3416166031584473,0.6747892129856357,0.4156974652331288,0.061204877183677626,0.12176070915880235,0.5402560243494413,0.16417609671533293,0.44976461033626824,3172608000
p00,oracle,0.8244418026938908,0.2257686008109548,0.4598661670530215,0.22553676839494066,0.32669334071510936,0.11564393012016883,0.0012236916791286863,0.023448934295949624,0.9849944465723722,0.03935682430714164,0.9022946916973621,3172608000
p00,risk_calibrated,0.7208281746920857,0.2449830040752852,0.42292979965687816,0.4549557991267375,0.6272860522787058,0.33135803880572134,0.04261069710605745,0.08158165389345913,0.7587069550848239,0.12999578295529002,0.5751099656011055,3172608000
p00,unlimited_retry,0.5396399792395425,0.07257482215335517,0.6714740147052101,0.08714918625782654,1.0478643345851508,0.8502622561210513,0.16217673045440945,0.2972737044419839,0.3725497454726844,0.28404263355814613,0.07584355075020853,3172608000
p01,fixed_four_retries,0.6296534727387478,0.16586792403426828,0.5358161644848249,0.26929309606957524,0.7686033922419482,0.48249241466625303,0.09837281836769167,0.17079306567418606,0.4683989478165158,0.18486964760977864,0.3465452181210782,3172608000
p01,fixed_one_retry,0.6695232102547034,0.429465623378947,0.3397608913008359,0.5368960861640837,0.3098928798200097,0.21115722538473883,0.023819412890937253,0.03764911519099657,0.5146033851806915,0.1905665392505348,0.5163262894848144,3172608000
