cost,policy,success,prop,contain,escalate,retry,latency,masked,stale,precision,waste,utility,weight
c00,fixed_four_retries,0.618955768411937,0.17247757320883741,0.49759063343899057,0.29254181343807334,0.8010561339882625,0.48613426779135843,0.11745905632442279,0.1820664611863001,0.4684106042842363,0.1541308696927531,0.30491011331419093,3807129600
c00,fixed_one_retry,0.6672260137513802,0.4502641928875864,0.3189225783766058,0.5624106535862643,0.3230573324354688,0.21372158481680206,0.027933151863308758,0.03939276108653436,0.5145514711147015,0.18606973296125054,0.49845114104794913,3807129600
c00,fixed_two_retries,0.6764140413084384,0.32366112372264,0.4019357072823322,0.4500147858980265,0.5427232818976186,0.3133719956131203,0.05186358690068369,0.08709146019520006,0.5683023546627631,0.15907537534817887,0.4819486351562746,3807129600
c00,immediate_escalation,0.5982983876138027,0.7082593951243397,0.13991737894220954,0.8423124248814825,0.0022759607048331615,0.13424315977794332,0.015537090284405766,0.03686851610285994,0.44694967195399427,0.34984303102130665,0.3284042439718319,3807129600
c00,local_backoff,0.6468474795607849,0.26590228193244847,0.438913950551812,0.3853277619421477,0.7356529271833789,0.4263676963009519,0.07961595101573395,0.13246905862784464,0.5402457512227562,0.13868929422786078,0.39424931534798885,3807129600
c00,oracle,0.8163494869900687,0.2368607404520468,0.39242470391271456,0.31188037537023006,0.31457645580669824,0.1140789433411263,0.001261819979285021,0.023440163592618513,0.9849921095751087,0.03700594965844447,0.8713123490319404,3807129600
c00,risk_calibrated,0.7185229479890957,0.2550903687264852,0.34786490082380445,0.5368005136642763,0.6467736002543313,0.33117459548235556,0.04074945691267542,0.08200320414782204,0.7685587245822554,0.1247230362138352,0.5494923859237746,3807129600
c00,unlimited_retry,0.49778711473028725,0.07398083180475766,0.6052008141484628,0.10896406388731736,1.133534016774781,0.8643431849190958,0.21929111315768524,0.3331009212057635,0.37262386729002983,0.22516887076557052,-0.048544614428852655,3807129600
c01,fixed_four_retries,0.617756124578919,0.17242085716167693,0.4975626297129883,0.292526247477689,0.8011662169699875,0.4861418731266993,0.11996531998807411,0.18207246190027282,0.4683780836538786,0.15413018401866607,0.3013005142970643,3807129600
c01,fixed_one_retry,0.6668938575809308,0.45021340853709335,0.31886321525328887,0.5623977086585987,0.3230077728915253,0.21371358180137817,0.02846420818868994,0.039424734993460914,0.5145690375940599,0.18606908436724634,0.4976167051459385,3807129600
