policy,success,prop,contain,escalate,retry,latency,masked,stale,precision,waste,utility,weight
fixed_four_retries,0.6040772763751515,0.17245037031086138,0.49757148082964825,0.29252851036820493,0.8011308579361074,0.48614010801226837,0.12409247494174193,0.1820690336909221,0.46836585713101886,0.1859693036120268,0.27716992453730327,19035648000
fixed_one_retry,0.6618187998021677,0.45032661504521965,0.318864770121365,0.5624011915617356,0.32305476501404434,0.21372507340411728,0.029294959671056716,0.03941642370475616,0.5145983879355089,0.19010128476937785,0.4917451192453896,19035648000
fixed_two_retries,0.6672298647924033,0.3236257252567166,0.40195125556519595,0.4499683443995607,0.5427135723542676,0.3133689007508283,0.05456721983649646,0.08706987665234574,0.5682432494249849,0.16584826922242535,0.47022162193520955,19035648000
immediate_escalation,0.5983255154992239,0.7082485473103174,0.13995927390046187,0.8423201047951403,0.0022358915544116076,0.13423850199406118,0.01555689135624267,0.036851400799411,0.4469435465209047,0.34986997095690764,0.32841695173505164,19035648000
local_backoff,0.6366857425161695,0.26594043603182393,0.43893710688678933,0.3852615652228162,0.6953106726212418,0.4135997600907,0.08341739352273311,0.1324764108645626,0.5402611339042221,0.16545227333377802,0.3795102485224333,19035648000
oracle,0.8117757080806458,0.23696228630371677,0.3924205480142295,0.31190812310108385,0.3145233876269133,0.11407972927424832,0.001250736977840113,0.0234241265642648,0.9850045622551912,0.0409309960893937,0.8667621110182111,19035648000
risk_calibrated,0.7103814555332746,0.2551532060989584,0.3440859216597384,0.5367550488345524,0.5770743186939057,0.3145028375686596,0.04280360988580087,0.08195233281079399,0.7685576121289485,0.13079576331719636,0.5467988399137437,19035648000
unlimited_retry,0.4754932318763307,0.07397096031054826,0.605189903750699,0.10897142525711045,1.133495594061982,0.8643387503581681,0.23120271037330284,0.33313452798814297,0.3725481040244901,0.28611429900030644,-0.09622588777719528,19035648000
